中文SC,英文EN,德 DE,法 FR,荷兰语NL,意大利 IT,西班牙 ES,葡萄牙语PT,俄语RU,波兰语PL,日语,繁体中文TC,韩语,,,,,,,
4.使用不当、摔落或过度用力可能会导致本产品损坏。,"4. Improper use, dropping, or excessive force may cause damage to this product.","4. Unsachgemäße Verwendung, Herunterfallen oder übermäßige Krafteinwirkung können das Produkt beschädigen.","4. Une utilisation inappropriée, une chute ou une force excessive peuvent endommager le produit.","4. Onoordeelkundig gebruik, vallen of overmatige kracht kan het product beschadigen.","4. L'uso improprio, le cadute o un uso eccessivo della forza possono danneggiare il prodotto.","4.El uso inadecuado, las caídas o una fuerza excesiva pueden dañar este producto.","4. O uso inadequado, quedas ou força excessiva podem danificar este produto.","4. Неправильное использование, падение или чрезмерное усилие могут повредить этот продукт.","4. Niewłaściwe użytkowanie, upuszczenie lub nadmierna siła mogą uszkodzić ten produkt.",4. 不適切な使用、落下、または過度な力が製品を損傷する可能性があります。,4. 使用不當、摔落或過度用力可能會導致本產品損壞。,"4. 부적절한 사용, 낙하 또는 과도한 힘은 제품 손상의 원인이 될 수 있습니다.",,,,,,,
5.请勿接触液体。请远离饮料、雨水等，湿气可能会产生电击风险。,"5.Keep away from liquids. Avoid contact with beverages, rainwater, etc., as moisture may cause an electric shock risk.","5.Von Flüssigkeiten fernhalten. Vermeiden Sie den Kontakt mit Getränken, Regenwasser usw., da Feuchtigkeit zu Stromschlägen führen kann.","5.Tenir à l'écart des liquides. Évitez tout contact avec des boissons, de l'eau de pluie, etc., car l'humidité peut présenter un risque d'électrocution.","5. Houd het product uit de buurt van vloeistoffen. Vermijd contact met drankjes, regenwater, enz., aangezien vocht een risico op elektrische schokken kan veroorzaken.","5.Mantenere lontano dai liquidi. Evitare il contatto con bevande, acqua piovana, ecc, dato che l’umidità può causare un rischio di scossa elettrica.","5.Mantener alejado de líquidos. Evite el contacto con bebidas, agua de lluvia, etc., ya que la humedad puede suponer un riesgo de descarga eléctrica.","5. Mantenha afastado de líquidos. Evite o contato com bebidas, água da chuva, etc., pois a umidade pode causar risco de choque elétrico.","5. Держите продукт вдали от жидкостей. Избегайте контакта с напитками, дождевой водой и т. д., так как влага может привести к риску поражения электрическим током.","5. Trzymaj produkt z dala od cieczy. Unikaj kontaktu z napojami, deszczówką itp., ponieważ wilgoć może powodować ryzyko porażenia prądem.",5. 液体に触れないでください。飲み物、雨水などの接触を避けてください。湿気は感電のリスクを引き起こす可能性があります。,5. 請勿接觸液體。請遠離飲料、雨水等，濕氣可能會產生電擊風險。,"5. 액체와의 접촉을 피하세요. 음료, 빗물 등과의 접촉을 피하고, 습기로 인해 감전 위험이 발생할 수 있습니다.",,,,,,,
6.不要在产品附近放置明火源（例如蜡烛）。避免将产品置于高温或火中。,"6.Keep the product away from open flames (e.g., candles). Avoid placing the product in high temperatures or fire.","6.Halten Sie das Produkt von offenem Feuer (z.B. Kerzen) fern. Vermeiden Sie, das Produkt hohen Temperaturen oder Feuer auszusetzen.","6.Tenez le produit à l'écart des flammes nues (par exemple, des bougies). Évitez d'exposer le produit à des températures élevées ou au feu.",6. Houd het product uit de buurt van open vuur (bijv. kaarsen). Vermijd blootstelling van het product aan hoge temperaturen of vuur.,6.Mantenere il prodotto lontano da fiamme libere (per esempio candele). Evitare di esporre il prodotto a temperature elevate o al fuoco.,"6.Mantenga el producto alejado de llamas vivas (por ejemplo, velas). Evite exponer el producto a altas temperaturas o fuego.",6. Mantenha o produto afastado de chamas abertas (ex.: velas). Evite expor o produto a altas temperaturas ou ao fogo.,"6. Держите продукт вдали от открытого огня (например, свечей). Избегайте воздействия высоких температур или огня.",6. Trzymaj produkt z dala od otwartego ognia (np. świece). Unikaj narażania produktu na wysokie temperatury lub ogień.,6. 製品を裸火（例：ろうそく）の近くに置かないでください。製品を高温や火にさらさないでください。,6. 不要在產品附近放置明火源（例如蠟燭）。避免將產品置於高溫或火中。,6. 제품 근처에 촛불과 같은 화기를 두지 마세요. 제품을 고온이나 불 가까이에 두는 것을 피하세요.,,,,,,,
7.医疗设备干扰风险。产品本体及支架包含有磁体。这些磁体可能干扰医疗设备，例如植入耳蜗、助听器、心脏起搏器、除颤器或其他医疗设备。请咨询您的医师和医疗设备制造商以获得您医疗设备的特定信息，如果怀疑本产品正在干扰您的医疗设备，请停止使用。,"7.Risk of interference with medical equipment. The product body and stand contain magnets. These magnets may interfere with medical equipment such as cochlear implants, hearing aids, pacemakers, defibrillators, or other medical devices. Please consult your physician and the manufacturer of your medical equipment for specific information about your medical device. If you suspect that this product is interfering with your medical device, stop using it.","7.Risiko der Interferenz mit medizinischen Geräten. Der Produktkörper und der Ständer enthalten Magnete. Diese Magnete können medizinische Geräte wie Cochlea-Implantate, Hörgeräte, Herzschrittmacher, Defibrillatoren oder andere medizinische Geräte stören. Bitte konsultieren Sie Ihren Arzt und den Hersteller Ihrer medizinischen Geräte, um spezifische Informationen über Ihr medizinisches Gerät zu erhalten. Wenn Sie vermuten, dass dieses Produkt Ihr medizinisches Gerät stört, stellen Sie die Verwendung ein.","7.Risque d'interférence avec les équipements médicaux. Le corps du produit et le support contiennent des aimants. Ces aimants peuvent interférer avec les équipements médicaux tels que les implants cochléaires, les aides auditives, les stimulateurs cardiaques, les défibrillateurs ou d'autres dispositifs médicaux. Veuillez consulter votre médecin et le fabricant de votre équipement médical pour obtenir des informations spécifiques sur votre dispositif médical. Si vous pensez que ce produit interfère avec votre équipement médical, cessez de l'utiliser.","7. Risico op interferentie met medische apparatuur. De behuizing en standaard van het product bevatten magneten. Deze magneten kunnen interfereren met medische apparaten zoals cochleaire implantaten, gehoorapparaten, pacemakers, defibrillatoren of andere medische apparatuur. Raadpleeg uw arts en de fabrikant van uw medische apparatuur voor specifieke informatie. Als u vermoedt dat dit product interferentie veroorzaakt, stop dan met het gebruik ervan.","7.Rischio di interferenze con dispositivi medici. Il corpo del prodotto e il supporto contengono magneti. Questi magneti possono interferire con dispositivi medici come impianti cocleari, apparecchi acustici, pacemaker, defibrillatori o altri dispositivi medici. Consultare il proprio medico e il produttore del dispositivo medico per informazioni specifiche sul proprio dispositivo medico. Se si sospetta che questo prodotto interferisca con il proprio dispositivo medico, interrompere l'uso.","7.Riesgo de interferencia con equipos médicos. El cuerpo del producto y el soporte contienen imanes. Estos imanes pueden interferir con equipos médicos como implantes cocleares, audífonos, marcapasos, desfibriladores u otros dispositivos médicos. Consulte a su médico y al fabricante de su equipo médico para obtener información específica sobre su dispositivo médico. Si sospecha que este producto está interfiriendo con su equipo médico, deje de usarlo.","7. Risco de interferência com equipamentos médicos. O corpo do produto e o suporte contêm ímãs. Esses ímãs podem interferir em equipamentos médicos como implantes cocleares, aparelhos auditivos, marcapassos, desfibriladores ou outros dispositivos médicos. Consulte seu médico e o fabricante do equipamento médico para obter informações específicas. Se suspeitar que este produto está interferindo no seu dispositivo médico, pare de usá-lo.","7. Риск помех для медицинского оборудования. Корпус и подставка продукта содержат магниты. Эти магниты могут создавать помехи для медицинских устройств, таких как кохлеарные имплантаты, слуховые аппараты, кардиостимуляторы, дефибрилляторы и другие медицинские устройства. Проконсультируйтесь с врачом и производителем медицинского оборудования для получения конкретной информации. Если вы подозреваете, что этот продукт создает помехи вашему медицинскому устройству, прекратите его использование.","7. Ryzyko zakłóceń w działaniu urządzeń medycznych. Obudowa produktu i jego stojak zawierają magnesy. Magnesy te mogą zakłócać działanie urządzeń medycznych, takich jak implanty ślimakowe, aparaty słuchowe, rozruszniki serca, defibrylatory lub inne urządzenia medyczne. Skonsultuj się z lekarzem i producentem swojego urządzenia medycznego w celu uzyskania szczegółowych informacji. Jeśli podejrzewasz, że ten produkt zakłóca działanie Twojego urządzenia medycznego, zaprzestań jego używania.",7. 医療機器への干渉のリスク。本製品の本体およびスタンドには磁石が含まれています。これらの磁石は、人工内耳、補聴器、ペースメーカー、除細動器、その他の医療機器に干渉する可能性があります。医療機器の詳細情報については、医師および医療機器メーカーに相談してください。本製品が医療機器に干渉している疑いがある場合は、使用を中止してください。,7. 醫療設備干擾風險。產品本體及支架包含有磁體。這些磁體可能干擾醫療設備，例如植入耳蝸、助聽器、心臟起搏器、除顫器或其他醫療設備。請諮詢您的醫師和醫療設備製造商以獲得您醫療設備的特定信息，如果懷疑本產品正在干擾您的醫療設備，請停止使用。,"7. 의료 기기 간섭 위험. 본 제품 본체와 스탠드에는 자석이 포함되어 있으며, 이 자석은 인공 와우, 보청기, 심장 박동기, 제세동기 등 의료 기기에 간섭을 일으킬 수 있습니다. 사용 중인 의료 기기에 대한 자세한 사항은 담당 의사나 의료 기기 제조업체에 문의하시기 바랍니다. 본 제품이 의료 기기에 영향을 주는 것으로 의심되는 경우 즉시 사용을 중단하십시오.",,,,,,,
8. 本产品仅限家庭使用。相框不设置访问密码。相框屏幕上显示的照片和视频可以被位于相框旁边的人员看到。,8. Intended for home use only. The frame does not require a password. Photos and videos shown on the screen can be viewed by people next to the frame.,8. Nur für den Heimgebrauch bestimmt. Der Rahmen benötigt kein Passwort. Fotos und Videos auf dem Bildschirm können von Personen neben dem Rahmen gesehen werden.,8. Destiné uniquement à un usage domestique. Le cadre ne nécessite pas de mot de passe. Les photos et vidéos affichées à l’écran peuvent être vues par les personnes à côté du cadre.,8. Uitsluitend bedoeld voor thuisgebruik. De fotolijst vereist geen wachtwoord. Foto’s en video’s op het scherm kunnen worden gezien door mensen naast de fotolijst.,8. Destinato esclusivamente all’uso domestico. La cornice non richiede una password. Le foto e i video mostrati sullo schermo possono essere visti da persone che si trovano accanto alla cornice.,8. Destinado únicamente para uso doméstico. El marco no requiere contraseña. Las fotos y vídeos mostrados en la pantalla pueden ser vistos por personas junto al marco.,8. Destinado exclusivamente ao uso doméstico. A moldura não requer uma palavra-passe. As fotos e os vídeos no ecrã podem ser vistos por pessoas ao lado da moldura.,8. Предназначено только для домашнего использования. Рамка не требует пароля. Фотографии и видео на экране могут видеть люди рядом с рамкой.,8. Przeznaczone wyłącznie do użytku domowego. Ramka nie wymaga hasła. Zdjęcia i filmy wyświetlane na ekranie mogą być widziane przez osoby obok ramki.,8. 本製品は家庭用としてのみ設計されています。フレームにパスワードはありません。画面に表示される写真や動画は、フレームのそばにいる人が見ることができます。,8. 本產品僅限家庭使用。相框不設置存取密碼。相框螢幕上顯示的照片和影片可以被位於相框旁邊的人員看到。,8. 본 제품은 가정용으로 설계되었습니다. 프레임에는 비밀번호가 없습니다. 화면에 표시되는 사진과 동영상은 프레임 옆에 있는 사람이 볼 수 있습니다.,,,,,,,
,,,,,,,,,,,,,,,,,,,
如有任何问题，请通过邮件联系我们：support@pexar.com,Email us with any questions at support@pexar.com,Kontaktieren Sie uns bei Fragen per E-Mail unter support@pexar.com,"Pour toute question, contactez-nous par e-mail à support@pexar.com",Neem bij vragen contact met ons op via e-mail: support@pexar.com,"Per qualsiasi domanda, contattaci via e-mail a support@pexar.com","Para cualquier consulta, contáctenos por correo electrónico a support@pexar.com","Para qualquer dúvida, entre em contato por e-mail: support@pexar.com",По любым вопросам обращайтесь по электронной почте: support@pexar.com,W razie pytań prosimy o kontakt mailowy: support@pexar.com,ご質問がございましたら、メールでお問い合わせください：support@pexar.com,如有任何問題，請電郵聯繫我們：support@pexar.com,문의 사항이 있으시면 support@pexar.com 으로 이메일을 보내주시기 바랍니다.,,,,,,,
,,,,,,,,,,,,,,,,,,,
"pexar 数码相框
PX-125","pexar Digital Picture Frame
PX-125",,,,,,,,,"pexar デジタルフォトフレーム
PX-125","pexar 數位相框
PX-125",,,,,,,,
,,,,,,,,,,,"[使用過度恐傷害視力]
注意事項:
1. 使用30分鐘請休息10分鐘
2. 未满2歲幼兒不看螢幕,2歲以上每天看螢幕不要超過1小時。",,,,,,,,
封底,,,,,,,,,,,,,,,,,,,
支持网址：https://pexar.com/pages/support-center,,,,,,,,,,,,,,,,,,,
